Variable	Value	N
mpg	10.4	2
mpg	13.3	1
mpg	14.3	1
mpg	14.7	1
mpg	15	1
mpg	15.2	2
mpg	15.5	1
mpg	15.8	1
mpg	16.4	1
mpg	17.3	1
mpg	17.8	1
mpg	18.1	1
mpg	18.7	1
mpg	19.2	2
mpg	19.7	1
mpg	21	2
mpg	21.4	2
mpg	21.5	1
mpg	22.8	2
mpg	24.4	1
mpg	26	1
mpg	27.3	1
mpg	30.4	2
mpg	32.4	1
mpg	33.9	1
cyl	4	11
cyl	6	7
cyl	8	14
disp	71.1	1
disp	75.7	1
disp	78.7	1
disp	79	1
disp	95.1	1
disp	108	1
disp	120.1	1
disp	120.3	1
disp	121	1
disp	140.8	1
disp	145	1
disp	146.7	1
disp	160	2
disp	167.6	2
disp	225	1
disp	258	1
disp	275.8	3
disp	301	1
disp	304	1
disp	318	1
disp	350	1
disp	351	1
disp	360	2
disp	400	1
disp	440	1
disp	460	1
disp	472	1
hp	52	1
hp	62	1
hp	65	1
hp	66	2
hp	91	1
hp	93	1
hp	95	1
hp	97	1
hp	105	1
hp	109	1
hp	110	3
hp	113	1
hp	123	2
hp	150	2
hp	175	3
hp	180	3
hp	205	1
hp	215	1
hp	230	1
hp	245	2
hp	264	1
hp	335	1
drat	2.76	2
drat	2.93	1
drat	3	1
drat	3.07	3
drat	3.08	2
drat	3.15	2
drat	3.21	1
drat	3.23	1
drat	3.54	1
drat	3.62	1
drat	3.69	1
drat	3.7	1
drat	3.73	1
drat	3.77	1
drat	3.85	1
drat	3.9	2
drat	3.92	3
drat	4.08	2
drat	4.11	1
drat	4.22	2
drat	4.43	1
drat	4.93	1
wt	1.513	1
wt	1.615	1
wt	1.835	1
wt	1.935	1
wt	2.14	1
wt	2.2	1
wt	2.32	1
wt	2.465	1
wt	2.62	1
wt	2.77	1
wt	2.78	1
wt	2.875	1
wt	3.15	1
wt	3.17	1
wt	3.19	1
wt	3.215	1
wt	3.435	1
wt	3.44	3
wt	3.46	1
wt	3.52	1
wt	3.57	2
wt	3.73	1
wt	3.78	1
wt	3.84	1
wt	3.845	1
wt	4.07	1
wt	5.25	1
wt	5.345	1
wt	5.424	1
qsec	14.5	1
qsec	14.6	1
qsec	15.41	1
qsec	15.5	1
qsec	15.84	1
qsec	16.46	1
qsec	16.7	1
qsec	16.87	1
qsec	16.9	1
qsec	17.02	2
qsec	17.05	1
qsec	17.3	1
qsec	17.4	1
qsec	17.42	1
qsec	17.6	1
qsec	17.82	1
qsec	17.98	1
qsec	18	1
qsec	18.3	1
qsec	18.52	1
qsec	18.6	1
qsec	18.61	1
qsec	18.9	2
qsec	19.44	1
qsec	19.47	1
qsec	19.9	1
qsec	20	1
qsec	20.01	1
qsec	20.22	1
qsec	22.9	1
vs	0	18
vs	1	14
am	0	19
am	1	13
gear	3	15
gear	4	12
gear	5	5
carb	1	7
carb	2	10
carb	3	3
carb	4	10
carb	6	1
carb	8	1
mpg2	20.8	2
mpg2	26.6	1
mpg2	28.6	1
mpg2	29.4	1
mpg2	30	1
mpg2	30.4	2
mpg2	31	1
mpg2	31.6	1
mpg2	32.8	1
mpg2	34.6	1
mpg2	35.6	1
mpg2	36.2	1
mpg2	37.4	1
mpg2	38.4	2
mpg2	39.4	1
mpg2	42	2
mpg2	42.8	1
mpg2	43	1
mpg2	45.6	2
mpg2	48.8	1
mpg2	52	1
mpg2	54.6	1
mpg2	60.8	2
mpg2	64.8	1
mpg2	67.8	1
mpg2	999	1
cyl2	.	9
cyl2	1	5
cyl2	3	4
cyl2	5	14
hp2	-9	11
hp2	963.04	1
hp2	1240	1
hp2	1247.4	1
hp2	1285.02	1
hp2	1293.5	1
hp2	1519.7	1
hp2	1730.73	1
hp2	1810.6	1
hp2	1872.2	1
hp2	1909.7	1
hp2	1940.97	1
hp2	2027.4	1
hp2	2123.1	1
hp2	2138.4	1
hp2	2175.5	1
hp2	2250.9	1
hp2	2324.7	1
hp2	2712.5	1
hp2	3132	1
hp2	3168	1
hp2	3240	1
