Variable	N	Converged	Beta	SE	Variable_pvalue	LRT_pvalue	Diff_AIC	pvalue_FDR	pvalue_Bonf
LBXLUZ	14263	TRUE	0.433555114491244	0.0154873449699275	6.41908810061463e-168	NA	NA	2.90784690957843e-165	2.90784690957843e-165
LBXCBC	14268	TRUE	2.07199241577355	0.10993182713162	2.72562244602181e-78	NA	NA	6.1735348402394e-76	1.23470696804788e-75
total_days_drink_year	7210	TRUE	0.0297363778618242	0.00167534593603266	5.06959341024592e-69	NA	NA	7.65508604947134e-67	2.2965258148414e-66
LBXLYC	14258	TRUE	0.182735361162121	0.0110884090684325	1.85563701440459e-60	NA	NA	2.1015089188132e-58	8.40603567525281e-58
DR1TALCO	20319	TRUE	0.0581255383087073	0.00380151315809174	1.74536515617776e-52	NA	NA	1.58130083149705e-50	7.90650415748525e-50
LBXVID	14329	TRUE	0.207828981889296	0.0142248500153111	5.34955576473375e-48	NA	NA	4.03891460237398e-46	2.42334876142439e-45
LBXCRY	14229	TRUE	0.202119107865834	0.0149035431553565	1.22419259454146e-41	NA	NA	7.92227493324691e-40	5.54559245327283e-39
LBXRST	17845	TRUE	-2.29029356052922	0.174122372295696	2.48180330362463e-39	NA	NA	1.40532112067744e-37	1.12425689654196e-36
ESTROGENS__CONJUGATED	13871	TRUE	NA	NA	NA	3.6054175017297e-39	-168.513212495338	1.81472680920395e-37	1.63325412828355e-36
LBXBEC	14267	TRUE	0.0896634522423839	0.00718552846967952	1.50295429581871e-35	NA	NA	6.80838296005877e-34	6.80838296005877e-33
LBXIRN	16546	TRUE	0.0345699051130668	0.00285875402493456	1.59989256069029e-33	NA	NA	6.58864845447908e-32	7.24751329992699e-31
LBXALC	14268	TRUE	0.275384320754502	0.0241994377503859	7.09529557465881e-30	NA	NA	2.6784740794337e-28	3.21416889532044e-27
supplement_count	21125	TRUE	0.762102075857417	0.0679740828788735	4.31934592075842e-29	NA	NA	1.50512592469505e-27	1.95666370210356e-26
SMD080	3703	TRUE	-0.160687362563102	0.0179444234598663	5.28765435849079e-19	NA	NA	1.71093387456881e-17	2.39530742439633e-16
DR1TMAGN	20319	TRUE	0.00656213840706973	0.000737400007684699	6.09690394176746e-19	NA	NA	1.84126499041377e-17	2.76189748562066e-16
SMQ040	6455	TRUE	NA	NA	NA	1.2547769574495e-18	-80.0682442808175	3.55258726077889e-17	5.68413961724623e-16
DR1TFF	14160	TRUE	0.00850114471857072	0.000981643891090051	5.21739428231951e-18	NA	NA	1.39028212346514e-16	2.36347960989074e-15
CVDVOMAX	8554	TRUE	0.263554766810886	0.0324937849645886	5.71977853334119e-16	NA	NA	1.43947759755753e-14	2.59105967560356e-13
LBXCOT	20928	TRUE	-0.00789104909239554	0.000982951020984651	1.043360968299e-15	NA	NA	2.4875922033655e-14	4.72642518639445e-13
DR1TPROT	20319	TRUE	0.0199269014705383	0.00249195548158795	1.34818964579805e-15	NA	NA	3.05364954773258e-14	6.10729909546517e-13
SMD100CO	3371	TRUE	-0.310989060680731	0.0395871522086266	5.30297117567815e-15	NA	NA	1.14392663932486e-13	2.4022459425822e-12
LBXRPL	19020	TRUE	-0.364534226235542	0.0478673082561103	2.74910853896533e-14	NA	NA	5.6606644006877e-13	1.24534616815129e-11
DR1TP183	20319	TRUE	0.753926624990449	0.0993242259081792	3.32250379970849e-14	NA	NA	6.54388791855628e-13	1.50509422126795e-11
LBX128	5446	TRUE	-125.263141761172	16.5062828025518	3.77617677242196e-14	NA	NA	7.12753365794644e-13	1.71060807790715e-11
