Variable	N	Converged	Beta	SE	Variable_pvalue	LRT_pvalue	Diff_AIC	pval	phenotype	weight	pvalue_Bonf	pvalue_FDR
LBXGTC	8070	TRUE	0.000421592929447751	2.08508753081801e-05	2.61146728744799e-14	NA	NA	2.61146728744799e-14	logBMI	WTMEC4YR	8.43503933845702e-12	8.43503933845702e-12
LBXIRN	8632	TRUE	-0.000910110379649329	6.72131193545361e-05	3.28344038030843e-11	NA	NA	3.28344038030843e-11	logBMI	WTMEC4YR	1.06055124283962e-08	5.30275621419811e-09
total_days_drink_year	4994	TRUE	-0.000211456100654351	2.83051697059143e-05	4.56288706098258e-07	NA	NA	4.56288706098258e-07	logBMI	WTMEC4YR	0.000147381252069737	4.91270840232458e-05
LBXBEC	4649	TRUE	-0.00253294482832279	0.000122666386784217	8.39401313646887e-07	NA	NA	8.39401313646887e-07	logBMI	WTMEC4YR	0.000271126624307944	4.92150048876202e-05
cigarette_smoking	3894	TRUE	NA	NA	NA	8.73468049647332e-07	-69.2047184921962	8.73468049647332e-07	logBMI	WTMEC4YR	0.000282130180036088	4.92150048876202e-05
LBXCBC	4647	TRUE	-0.0470462369707613	0.00231143270520041	9.14210617107495e-07	NA	NA	9.14210617107495e-07	logBMI	WTMEC4YR	0.000295290029325721	4.92150048876202e-05
LBXCOT	8481	TRUE	-0.000212304934645907	3.32415811916045e-05	3.98899048920303e-06	NA	NA	3.98899048920303e-06	logBMI	WTMEC4YR	0.00128844392801258	0.000184063418287511
LBXLUZ	4643	TRUE	-0.00553950382845032	0.000397143951819252	8.4630469291957e-06	NA	NA	8.4630469291957e-06	logBMI	WTMEC4YR	0.00273356415813021	0.000341695519766277
SMQ040	3894	TRUE	NA	NA	NA	1.5087063350046e-05	-72.4751466473697	1.5087063350046e-05	logBMI	WTMEC4YR	0.00487312146206486	0.000541457940229429
LISINOPRIL	9063	TRUE	NA	NA	NA	2.91880221085518e-05	-35.3048689666748	2.91880221085518e-05	logBMI	WTMEC4YR	0.00942773114106223	0.000942773114106223
LBXFOL	8627	TRUE	-0.00203256110971442	0.000375736218784135	3.21152078243978e-05	NA	NA	3.21152078243978e-05	logBMI	WTMEC4YR	0.0103732121272805	0.000943019284298226
LBXBPB	8716	TRUE	-0.0113264630978559	0.00212662597044546	3.85824678060143e-05	NA	NA	3.85824678060143e-05	logBMI	WTMEC4YR	0.0124621371013426	0.00103851142511189
LBXVID	4577	TRUE	-0.00573560609567368	0.000551450969977582	4.62689085792942e-05	NA	NA	4.62689085792942e-05	logBMI	WTMEC4YR	0.014944857471112	0.00114960442085477
DR1TALCO	8699	TRUE	-0.000346333808151028	6.93824672985469e-05	8.09940379854128e-05	NA	NA	8.09940379854128e-05	logBMI	WTDR4YR	0.0261610742692883	0.00186864816209202
LBXBCD	8716	TRUE	-0.0310425935073929	0.00638676119720405	0.000108654704900216	NA	NA	0.000108654704900216	logBMI	WTMEC4YR	0.0350954696827699	0.00233969797885132
DR1TP204	8699	TRUE	0.105928485260013	0.02220379639027	0.000132939482671982	NA	NA	0.000132939482671982	logBMI	WTDR4YR	0.04293945290305	0.00268371580644063
DR1TFIBE	8699	TRUE	-0.00102547899623185	0.000216739997716398	0.000145267351408829	NA	NA	0.000145267351408829	logBMI	WTDR4YR	0.0469213545050517	0.00276007967676775
DRD370M	3805	TRUE	NA	NA	NA	0.000215531954518658	-28.6765953506201	0.000215531954518658	logBMI	WTDR4YR	0.0696168213095265	0.00386760118386259
DR1TVB6	8699	TRUE	-0.00925862092494415	0.00204883973454711	0.000234862658370542	NA	NA	0.000234862658370542	logBMI	WTDR4YR	0.0758606386536851	0.00399266519229922
URXOP3	2410	TRUE	7.51985066253466e-05	1.68068624067959e-05	0.00025992846624138	NA	NA	0.00025992846624138	logBMI	WTSPP4YR	0.0839568945959658	0.00419784472979829
FOLIC_ACID_mcg	8895	TRUE	-3.90458059917446e-05	9.39990307133927e-06	0.000539209862094156	NA	NA	0.000539209862094156	logBMI	WTMEC4YR	0.174164785456412	0.00807733396734032
LBX156	2703	TRUE	-0.46526668925928	0.112246483222522	0.000550158969911724	NA	NA	0.000550158969911724	logBMI	WTSPO4YR	0.177701347281487	0.00807733396734032
DR1TVC	8699	TRUE	-0.000118464354788591	2.87469970041898e-05	0.000581294035150473	NA	NA	0.000581294035150473	logBMI	WTDR4YR	0.187757973353603	0.00816339014580882
LBXRBF	8704	TRUE	8.49120550367598e-05	2.07225914241856e-05	0.000613153475958003	NA	NA	0.000613153475958003	logBMI	WTMEC4YR	0.198048572734435	0.00825202386393479
LBXCRY	4625	TRUE	-0.00511546544396255	0.000796356200610588	0.000672354720206321	NA	NA	0.000672354720206321	logBMI	WTMEC4YR	0.217170574626642	0.00868682298506567
URXP11	2816	TRUE	4.21707888388393e-05	1.07319955372262e-05	0.000900184738279215	NA	NA	0.000900184738279215	logBMI	WTMEC4YR	0.290759670464186	0.0111438650336749
URXUTL	2833	TRUE	0.0864514324029868	0.0221279287645017	0.000947771989502635	NA	NA	0.000947771989502635	logBMI	WTSHM4YR	0.306130352609351	0.0111438650336749
LBX196	1513	TRUE	-1.01017625426108	0.168412461841604	0.000966031643786062	NA	NA	0.000966031643786062	logBMI	WTSPO4YR	0.312028220942898	0.0111438650336749
DR1TMAGN	8699	TRUE	-7.00872832517522e-05	1.81583082322596e-05	0.00105540811442521	NA	NA	0.00105540811442521	logBMI	WTDR4YR	0.340896820959342	0.0117459393841311
LBXALC	4647	TRUE	-0.00598785999545682	0.00103061235412227	0.00114116762100825	NA	NA	0.00114116762100825	logBMI	WTMEC4YR	0.368597141585664	0.0117459393841311
LBD199	1506	TRUE	-0.933731952788559	0.161133408298681	0.0011568542459375	NA	NA	0.0011568542459375	logBMI	WTSPO4YR	0.373663921437811	0.0117459393841311
DUQ110	973	TRUE	-0.0029690085447927	0.000777834957895338	0.00116368439718946	NA	NA	0.00116368439718946	logBMI	WTMEC4YR	0.375870060292197	0.0117459393841311
ever_loud_noise_gt3_2	3158	TRUE	NA	NA	NA	0.00141530270173872	-27.0626664610777	0.00141530270173872	logBMI	WTMEC4YR	0.457142772661607	0.013852811292776
LBXF04	2271	TRUE	0.000724290668686468	0.000196183534099389	0.00154805139612913	NA	NA	0.00154805139612913	logBMI	WTSPO4YR	0.500020600949709	0.0147064882632267
age_started_birth_control	2594	TRUE	-0.00365817201603944	0.00100724650564828	0.00166074357261716	NA	NA	0.00166074357261716	logBMI	WTMEC4YR	0.536420173955344	0.0153262906844384
LBXHBS	8611	TRUE	NA	NA	NA	0.00186890304016382	-20.8912985734969	0.00186890304016382	logBMI	WTMEC4YR	0.603655681972913	0.0161883660996832
DR1TM161	8699	TRUE	0.0144220963500898	0.00400064894761583	0.00188711926416857	NA	NA	0.00188711926416857	logBMI	WTDR4YR	0.609539522326448	0.0161883660996832
LBXHA	8623	TRUE	NA	NA	NA	0.00190451365878626	-16.5808477490364	0.00190451365878626	logBMI	WTMEC4YR	0.615157911787963	0.0161883660996832
LBXHXC	2269	TRUE	-0.000205644377265149	5.73750888839847e-05	0.00197824100122611	NA	NA	0.00197824100122611	logBMI	WTSPO4YR	0.638971843396034	0.0163838934204111
SMD057	1894	TRUE	0.00127967013575397	0.000358337630264012	0.00203796811311214	NA	NA	0.00203796811311214	logBMI	WTMEC4YR	0.658263700535221	0.0164565925133805
LBX180	2722	TRUE	-0.134889139270646	0.0382666694936676	0.00226330532267319	NA	NA	0.00226330532267319	logBMI	WTSPO4YR	0.731047619223442	0.0178304297371571
number_close_friends	2581	TRUE	0.00143927279432759	0.000411169318955812	0.00239296584004939	NA	NA	0.00239296584004939	logBMI	WTMEC4YR	0.772927966335951	0.0184030468175227
LBXD05	2265	TRUE	6.92362615826748e-05	1.98598907388085e-05	0.00247133139426332	NA	NA	0.00247133139426332	logBMI	WTSPO4YR	0.798240040347052	0.0185637218685361
LBXVCF	945	TRUE	1.22511243292137e-05	3.26528420816579e-06	0.00276122637396834	NA	NA	0.00276122637396834	logBMI	WTMEC4YR	0.891876118791775	0.0202699117907222
age_stopped_birth_control	2272	TRUE	-0.00257342514286853	0.000763120186785355	0.00302907035054256	NA	NA	0.00302907035054256	logBMI	WTMEC4YR	0.978389723225247	0.0214979294553883
DR1TCHOL	8699	TRUE	5.93164198849415e-05	1.74888701532154e-05	0.00306162462832155	NA	NA	0.00306162462832155	logBMI	WTDR4YR	0.98890475494786	0.0214979294553883
LBXTHG	2774	TRUE	-0.00683795285051958	0.00203686862604353	0.00313659210791325	NA	NA	0.00313659210791325	logBMI	WTMEC4YR	1	0.0215557287416166
LBXVEB	1149	TRUE	-0.0921290631858518	0.0281593843206797	0.00401304614252741	NA	NA	0.00401304614252741	logBMI	WTMEC4YR	1	0.0270044563340907
PHOSPHORUS_mg	9003	TRUE	-5.5481008870041e-05	1.74805730894358e-05	0.00499840895543877	NA	NA	0.00499840895543877	logBMI	WTMEC4YR	1	0.0329486957674841
LBX170	2621	TRUE	-0.246936360711285	0.0784907890419137	0.00531923169946634	NA	NA	0.00531923169946634	logBMI	WTSPO4YR	1	0.0343622367785526
URXUCD	2767	TRUE	-0.00985288916431653	0.00316377567928993	0.00571033735894624	NA	NA	0.00571033735894624	logBMI	WTSHM4YR	1	0.036030333626179
LBX206	1454	TRUE	-0.908383356364006	0.217212405188491	0.00580054906675328	NA	NA	0.00580054906675328	logBMI	WTSPO4YR	1	0.036030333626179
ATENOLOL	9063	TRUE	NA	NA	NA	0.00593757672310688	-5.56866009231953	0.00593757672310688	logBMI	WTMEC4YR	1	0.0361856090861042
DR1TFDFE	4684	TRUE	-2.96819783854499e-05	7.17483839303129e-06	0.006099355874855	NA	NA	0.006099355874855	logBMI	WTDR4YR	1	0.0364831842144104
how_many_years_in_house	9046	TRUE	NA	NA	NA	0.00629687723055594	-40.2500241469766	0.00629687723055594	logBMI	WTMEC4YR	1	0.0364951928485951
LBXVTO	1294	TRUE	-0.00505511255037833	0.00164756948628215	0.00632733993659854	NA	NA	0.00632733993659854	logBMI	WTMEC4YR	1	0.0364951928485951
POTASSIUM_mg	8998	TRUE	-8.93726278936608e-05	2.95043317699049e-05	0.00690135213648533	NA	NA	0.00690135213648533	logBMI	WTMEC4YR	1	0.0391076621067502
LBXVXY	1264	TRUE	-0.0298519506561279	0.00998037291366145	0.00750875524557966	NA	NA	0.00750875524557966	logBMI	WTMEC4YR	1	0.0411179268528629
DR1TM221	8699	TRUE	-0.0043712776782225	0.00146150224015071	0.0075107049050121	NA	NA	0.0075107049050121	logBMI	WTDR4YR	1	0.0411179268528629
LBXMIR	2638	TRUE	-0.00806290440595867	0.00271109701489361	0.00779688839672642	NA	NA	0.00779688839672642	logBMI	WTSPO4YR	1	0.0419732492023772
LBXRPL	7667	TRUE	-0.00383529776169355	0.00130197197521003	0.00829912414530605	NA	NA	0.00829912414530605	logBMI	WTMEC4YR	1	0.043944542605473
LBXHPE	2431	TRUE	0.323896002521616	0.110865590416886	0.00875441163267439	NA	NA	0.00875441163267439	logBMI	WTSPO4YR	1	0.0456076606024811
LBX194	1498	TRUE	-0.911358285224476	0.243021333805471	0.00950846523274815	NA	NA	0.00950846523274815	logBMI	WTSPO4YR	1	0.0487497503202802
DR1TCRYP	4684	TRUE	-4.18512807232102e-05	1.13174817905404e-05	0.0101131353138395	NA	NA	0.0101131353138395	logBMI	WTDR4YR	1	0.0503316079813856
DR1TCOPP	8699	TRUE	-0.0037372515699778	0.00130897553370171	0.01012865176096	NA	NA	0.01012865176096	logBMI	WTDR4YR	1	0.0503316079813856
ever_loud_noise_gt3	5187	TRUE	NA	NA	NA	0.010847521023585	-7.34162884554871	0.010847521023585	logBMI	WTMEC4YR	1	0.0525073024658295
DR1TPOTA	8699	TRUE	-6.38613490994358e-06	2.26308389032924e-06	0.0108916076322309	NA	NA	0.0108916076322309	logBMI	WTDR4YR	1	0.0525073024658295
URXP24	1621	TRUE	1.28589153628738e-05	3.65419735295226e-06	0.0125345980949957	NA	NA	0.0125345980949957	logBMI	WTMEC4YR	1	0.0595393409512295
DR1TFF	4684	TRUE	-8.56010550693303e-05	2.44368267385623e-05	0.0127803724964514	NA	NA	0.0127803724964514	logBMI	WTDR4YR	1	0.0598269611065768
DSDCOUNT	9063	TRUE	-0.00268451956718143	0.000981315085607923	0.0131375533622267	NA	NA	0.0131375533622267	logBMI	WTMEC4YR	1	0.0604190628130946
DUQ100	5091	TRUE	NA	NA	NA	0.0134302994737123	-15.0398316635749	0.0134302994737123	logBMI	WTMEC4YR	1	0.0604190628130946
DR1TMFAT	8699	TRUE	0.000620516717074152	0.000228074375318894	0.0135696319550121	NA	NA	0.0135696319550121	logBMI	WTDR4YR	1	0.0604190628130946
DR1TIRON	8699	TRUE	-0.000723770558270809	0.000266925302453591	0.0138411075592934	NA	NA	0.0138411075592934	logBMI	WTDR4YR	1	0.0604190628130946
LBXME	5143	TRUE	-0.00137436970733459	0.000506871563342236	0.0138421382296254	NA	NA	0.0138421382296254	logBMI	WTMEC4YR	1	0.0604190628130946
LBX153	2724	TRUE	-0.0445362539092839	0.0165529932008292	0.0144821255738343	NA	NA	0.0144821255738343	logBMI	WTSPO4YR	1	0.0623696874713132
LBXWBF	1604	TRUE	0.00457319180988824	0.00173942395601058	0.0165233217185445	NA	NA	0.0165233217185445	logBMI	WTMEC4YR	1	0.0687989348298683
DR1TM181	8699	TRUE	0.000655993179352889	0.000249661379275148	0.0165803640361082	NA	NA	0.0165803640361082	logBMI	WTDR4YR	1	0.0687989348298683
LBX099	2691	TRUE	0.16769673211042	0.0638459121812406	0.0166139842623211	NA	NA	0.0166139842623211	logBMI	WTSPO4YR	1	0.0687989348298683
DR1TCARB	8699	TRUE	-6.27052703183974e-05	2.41096616630832e-05	0.0175538904584543	NA	NA	0.0175538904584543	logBMI	WTDR4YR	1	0.0717220408705466
DR1TTFAT	8699	TRUE	0.00023295254195358	8.97608017322921e-05	0.0177639729710332	NA	NA	0.0177639729710332	logBMI	WTDR4YR	1	0.0717220408705466
URXP03	2888	TRUE	-7.92978282893466e-06	3.07882700027585e-06	0.0185242546819902	NA	NA	0.0185242546819902	logBMI	WTSPH4YR	1	0.0730975224869335
URXMOH	1640	TRUE	0.000126298545396996	3.95674861080296e-05	0.0187893333565428	NA	NA	0.0187893333565428	logBMI	WTSPH4YR	1	0.0730975224869335
DR1TP182	8699	TRUE	0.000896947222507479	0.000349556543573196	0.0189074445598631	NA	NA	0.0189074445598631	logBMI	WTDR4YR	1	0.0730975224869335
DRD370E	3805	TRUE	NA	NA	NA	0.0190230928385999	-6.46136906159154	0.0190230928385999	logBMI	WTDR4YR	1	0.0730975224869335
DR1TS160	8699	TRUE	0.00118893144854536	0.000464818013138296	0.0192361901281404	NA	NA	0.0192361901281404	logBMI	WTDR4YR	1	0.0730975224869335
DR1TPFAT	8699	TRUE	0.000787574870823649	0.000313426088339346	0.0211614788362151	NA	NA	0.0211614788362151	logBMI	WTDR4YR	1	0.0794785774895055
DR1TVARA	4684	TRUE	-1.04146377413128e-05	3.3932600533116e-06	0.0219641821118154	NA	NA	0.0219641821118154	logBMI	WTDR4YR	1	0.0815451818634067
LBXODT	2481	TRUE	0.301619542594842	0.121303661113307	0.0223682336355835	NA	NA	0.0223682336355835	logBMI	WTSPO4YR	1	0.0821015848215169
URXP15	2834	TRUE	-0.000312276850195003	0.000125960376861947	0.0227151125017795	NA	NA	0.0227151125017795	logBMI	WTMEC4YR	1	0.0824379925626378
LBXVIA	8602	TRUE	-0.000493424161950227	0.000201961607834222	0.0244971256669044	NA	NA	0.0244971256669044	logBMI	WTMEC4YR	1	0.087917462115668
SMQ210	8116	TRUE	NA	NA	NA	0.0260355187463827	-4.40516809620067	0.0260355187463827	logBMI	WTMEC4YR	1	0.0901793608767709
LBXHBC	2878	TRUE	NA	NA	NA	0.0264751856039951	NA	0.0264751856039951	logBMI	WTSPO4YR	1	0.0901793608767709
DR1TRET	4684	TRUE	-8.67120643352628e-06	2.969798685592e-06	0.0266383777869908	NA	NA	0.0266383777869908	logBMI	WTDR4YR	1	0.0901793608767709
URXP20	1621	TRUE	0.000368053512296455	0.000126260488148337	0.0268040884510108	NA	NA	0.0268040884510108	logBMI	WTMEC4YR	1	0.0901793608767709
DR1TFA	4684	TRUE	-3.99564627546041e-05	1.37285191416041e-05	0.0269638470164206	NA	NA	0.0269638470164206	logBMI	WTDR4YR	1	0.0901793608767709
LBX118	2725	TRUE	0.0566550229148287	0.0236521059601538	0.0270655936924132	NA	NA	0.0270655936924132	logBMI	WTSPO4YR	1	0.0901793608767709
URXOP1	2411	TRUE	-0.00134243912123071	0.000560503052819093	0.0270817275698043	NA	NA	0.0270817275698043	logBMI	WTSPP4YR	1	0.0901793608767709
supplement_count	9051	TRUE	-0.00442129085108461	0.00186877208086661	0.0287714498027203	NA	NA	0.0287714498027203	logBMI	WTMEC4YR	1	0.0948283498599864
private_water_source	8983	TRUE	NA	NA	NA	0.0309771862163498	-16.9551147431284	0.0309771862163498	logBMI	WTMEC4YR	1	0.100956342782899
LBXVOX	1310	TRUE	-0.0686974695198965	0.0295378327332022	0.0312558336789161	NA	NA	0.0312558336789161	logBMI	WTMEC4YR	1	0.100956342782899
LBXVBF	1051	TRUE	0.000993451877427216	0.000412502483989777	0.0330117813942174	NA	NA	0.0330117813942174	logBMI	WTMEC4YR	1	0.105039147309297
DR1TVB2	8699	TRUE	-0.00489793109789724	0.00213368802207096	0.0332561564804244	NA	NA	0.0332561564804244	logBMI	WTDR4YR	1	0.105039147309297
DR1TVB1	8699	TRUE	-0.00674074675894227	0.00294096151697422	0.033495455643522	NA	NA	0.033495455643522	logBMI	WTDR4YR	1	0.105039147309297
URXDMA	2904	TRUE	-1.63746615548977e-05	7.24507263851166e-06	0.0357503060452679	NA	NA	0.0357503060452679	logBMI	WTSPH4YR	1	0.111032200505976
DR1TPROT	8699	TRUE	0.000193862861761413	8.64245590348018e-05	0.0370051579981679	NA	NA	0.0370051579981679	logBMI	WTDR4YR	1	0.113834914603888
COPPER_mg	8955	TRUE	-0.00618658500854811	0.00282735689607391	0.0413593044466286	NA	NA	0.0413593044466286	logBMI	WTMEC4YR	1	0.126028823926991
SMQ020	8110	TRUE	NA	NA	NA	0.0417677731269803	-6.43726192876329	0.0417677731269803	logBMI	WTMEC4YR	1	0.126084025420698
DR1TSFAT	8699	TRUE	0.000534773614233293	0.000246804770828071	0.0431693715604428	NA	NA	0.0431693715604428	logBMI	WTDR4YR	1	0.129108398277991
URXMHH	1640	TRUE	6.28528398894981e-05	2.48234793435758e-05	0.044559763021149	NA	NA	0.044559763021149	logBMI	WTSPH4YR	1	0.13204406840212
LBXB12	8629	TRUE	-1.83787703653449e-06	8.60965143585698e-07	0.0460317084990817	NA	NA	0.0460317084990817	logBMI	WTMEC4YR	1	0.135165834956394
LBX172	2669	TRUE	-0.525644085174499	0.246858911001429	0.0465240831220649	NA	NA	0.0465240831220649	logBMI	WTSPO4YR	1	0.135380890526369
ordinary_salt	4684	TRUE	NA	NA	NA	0.0473777356829403	-19.2894973950063	0.0473777356829403	logBMI	WTDR4YR	1	0.136634005585622
LBXEND	1433	TRUE	2.97195717910948	1.20491515553871	0.0486863920546308	NA	NA	0.0486863920546308	logBMI	WTSPO4YR	1	0.139165527731378
DR1TVB12	8699	TRUE	-0.000368774557221419	0.000175855577621387	0.0496051692154882	NA	NA	0.0496051692154882	logBMI	WTDR4YR	1	0.140547979443883
LBXPCB	2271	TRUE	2.21594577888302e-05	1.06120395126578e-05	0.0504848159044313	NA	NA	0.0504848159044313	logBMI	WTSPO4YR	1	0.141796482931577
SMD410	9060	TRUE	NA	NA	NA	0.0510181817144501	-12.1248139399586	0.0510181817144501	logBMI	WTMEC4YR	1	0.141993790904473
LBX146	2716	TRUE	-0.24430984216646	0.117754021022887	0.0518373415728775	NA	NA	0.0518373415728775	logBMI	WTSPO4YR	1	0.141993790904473
