Variable	pvalue_Bonf_Dis	pvalue_Bonf_Rep
LBXIRN	1.06055124283962e-08	1.71345536123609e-10
LBXVID	0.014944857471112	2.98706951927484e-10
LBXGTC	8.43503933845702e-12	2.6745949398014e-09
LBXLUZ	0.00273356415813021	2.2660662474849e-09
total_days_drink_year	0.000147381252069737	1.67548780403995e-08
LBXCBC	0.000295290029325721	1.13609765475283e-07
LBXBEC	0.000271126624307944	1.6559382618632e-06
LISINOPRIL	0.00942773114106223	1.6316927722539e-06
LBXBPB	0.0124621371013426	1.08430016857307e-05
LBXBCD	0.0350954696827699	6.6896500692251e-05
LBXCOT	0.00128844392801258	9.47910985244477e-05
DR1TALCO	0.0261610742692883	0.000902614810863914
DR1TP204	0.04293945290305	0.00154111525314788
SMQ040	0.00487312146206486	0.00345065464618647
cigarette_smoking	0.000282130180036088	0.00845403796296942
