Variable	pvalue_FDR_Dis	pvalue_FDR_Rep
FOLIC_ACID_mcg	0.00807733396734032	2.00516926221974e-12
LBXCRY	0.00868682298506567	4.49825749204275e-12
LBXIRN	5.30275621419811e-09	5.71151787078696e-11
LBXVID	0.00114960442085477	7.46767379818711e-11
LBXGTC	8.43503933845702e-12	4.45765823300234e-10
LBXLUZ	0.000341695519766277	4.45765823300234e-10
total_days_drink_year	4.91270840232458e-05	2.39355400577135e-09
PHOSPHORUS_mg	0.0329486957674841	9.05072795928407e-09
LBXCBC	4.92150048876202e-05	1.26233072750314e-08
LBXALC	0.0117459393841311	1.85867206073444e-08
POTASSIUM_mg	0.0391076621067502	2.03886877468107e-08
LBXBEC	4.92150048876202e-05	1.27379866297169e-07
LISINOPRIL	0.000942773114106223	1.27379866297169e-07
LBXBPB	0.00103851142511189	7.74500120409334e-07
LBXBCD	0.00233969797885132	4.45976671281673e-06
LBXCOT	0.000184063418287511	5.92444365777798e-06
LBXHBS	0.0161883660996832	1.78391060878038e-05
DR1TM161	0.0161883660996832	3.1307472543517e-05
SMD057	0.0164565925133805	3.22184683431607e-05
LBXHA	0.0161883660996832	3.88044318172392e-05
DR1TALCO	0.00186864816209202	4.29816576601864e-05
DR1TP204	0.00268371580644063	7.00506933249037e-05
LBXRBF	0.00825202386393479	0.000134468797941825
SMQ040	0.000541457940229429	0.000143777276924436
cigarette_smoking	4.92150048876202e-05	0.000338161518518777
DR1TCRYP	0.0503316079813856	0.00054678118457593
LBXTHG	0.0215557287416166	0.00054678118457593
LBXVCF	0.0202699117907222	0.000671215567924747
DR1TCHOL	0.0214979294553883	0.00200643792878907
supplement_count	0.0948283498599864	0.00258412227020034
LBXHPE	0.0456076606024811	0.00343029651711434
LBXRPL	0.043944542605473	0.00351561185554745
DRD370M	0.00386760118386259	0.00407955589086454
DR1TVC	0.00816339014580882	0.00508226210529062
LBXD05	0.0185637218685361	0.00796369375753829
LBX180	0.0178304297371571	0.00913846823467323
LBXF04	0.0147064882632267	0.00981341255179452
DR1TS160	0.0730975224869335	0.0107495174218529
URXUTL	0.0111438650336749	0.010906482062206
LBX194	0.0487497503202802	0.013121699982244
how_many_years_in_house	0.0364951928485951	0.0139703924467126
LBX196	0.0111438650336749	0.0150099446248781
DR1TCARB	0.0717220408705466	0.0155304643886123
LBXHXC	0.0163838934204111	0.0207363275734029
DR1TMFAT	0.0604190628130946	0.0244332313266782
DR1TTFAT	0.0717220408705466	0.0248991958805309
LBX206	0.036030333626179	0.0258182069463278
DR1TM181	0.0687989348298683	0.0323206253371321
DR1TFIBE	0.00276007967676775	0.0341544399470875
DR1TMAGN	0.0117459393841311	0.0445284782364353
LBXMIR	0.0419732492023772	0.0445284782364353
LBX170	0.0343622367785526	0.0496443898730375
LBXFOL	0.000943019284298226	0.059298726209433
DR1TVB6	0.00399266519229922	0.0624211843853952
DSDCOUNT	0.0604190628130946	0.0764316179174422
ATENOLOL	0.0361856090861042	0.0793267922018016
LBD199	0.0117459393841311	0.0857000057218853
LBXVTO	0.0364951928485951	0.0857000057218853
URXP24	0.0595393409512295	0.0857000057218853
DR1TFDFE	0.0364831842144104	0.0962310510003305
DUQ100	0.0604190628130946	0.0962310510003305
